662.12,3.3,Development,0xEe338A4307544f7ac4e8569311dCCb7FCC59a00d,10 months,1,10,OwnerVesting
4166.67,3.3,Contributor Compensation,0x36cd8971BE8B72Fb408Ef4E7Fa84c0C62CC15E9F,24 months,1,26,MultisigVesting
11716.67,3.3,Contributor Compensation,0x959919178CEff4a7bf5A1EdC653e2Eb965709d97,24 months,1,26,MultisigVesting
11363.64,3.3,Contributor Compensation,0xd87beb25391Fdf4de6538b9bAc237E00050D958e,24 months,1,26,MultisigVesting
1515.15,3.3,Contributor Compensation,0x55Ed66E5E8371C66bc710A4feE4e8e7Bf2d825fd,24 months,1,26,MultisigVesting
1818.18,3.3,Contributor Compensation,0x630aa79cFD4254390c93e9221cc3d3F195dC716f,24 months,1,26,MultisigVesting
303.03,3.3,Contributor Compensation,0xF5366a3445Adf491311a6e86443bfb5392f08265,24 months,1,26,MultisigVesting
463.94,3.3,Contributor Compensation,0x72A34efB62c8Dd0147df40F8ba0b9b66CBE65bEB,24 months,1,26,MultisigVesting
4419.09,3.3,Contributor Compensation,0x06e52AE51fA0dCE35B4C46c2CC441A94762537E8,24 months,1,26,MultisigVesting
694.55,3.3,Contributor Compensation,0x9Aa8F928011EAE7E5466b75111175518dF94348d,24 months,1,26,MultisigVesting
3333.33,3.3,Contributor Compensation,0x36aedDBD87b092E01Ea5327eFBb619187F9A9c13,24 months,1,26,MultisigVesting
303.03,3.3,Contributor Compensation,0xC2b4Edb2De0e549d2df1098b8119B486d5A0A8cb,24 months,1,26,MultisigVesting
246.36,3.3,Contributor Compensation,0x3F4F13776E6F56BD092C721E7De2F15d535B19FE,24 months,1,26,MultisigVesting
530.30,3.3,Contributor Compensation,0xd86D0c3a5D84e7B6322d5d37571b47E219691e97,24 months,1,26,MultisigVesting
1136.36,3.3,Contributor Compensation,0x1B888038505D3Fd0b577d7076d355eD21b93CEfe,24 months,1,26,MultisigVesting
2010.55,3.3,Contributor Compensation,0x3fcB4fdC45C01344805e41FA413828b76BEca719,24 months,1,26,MultisigVesting
340.91,3.3,Contributor Compensation,0x367580BEc03c001D76C51591C7d79914c4cc0e7D,24 months,1,26,MultisigVesting
454.55,3.3,Contributor Compensation,0x3E7821266E1b3fC1228403f9F43DEba7dAedF66A,24 months,1,26,MultisigVesting
2954.55,3.3,Contributor Compensation,0x72Bd32a5317EF2F392e1A0D580abFC32750efD19,24 months,1,26,MultisigVesting
909.09,3.3,Contributor Compensation,0x3bFa3222b46318361649a3F35f624a6FE6C46571,24 months,1,26,MultisigVesting
810.61,3.3,Contributor Compensation,0x0090dcb43bA4Ca7536c6a16552F8D7a6411F8EA1,24 months,1,26,MultisigVesting
1818.18,3.3,Contributor Compensation,0x9a54e31807c6c8EaFDD012A412F1851e77FE7843,24 months,1,26,MultisigVesting
18181.82,3.3,Contributor Compensation,0x10B36f3064b88dd2A98e1723BFa47D38a28a69d2,24 months,1,26,MultisigVesting
8143.32,3.07,Bug Bounty,0xc142fBd2e1680BAEA766b60ee3f571eE10e18618,24 months,1,26,MultisigVesting
55374.59,3.07,Contributor Compensation,0xA6575f1D5Bd6545fBd34BE05259D9d6ae60641f2,24 months,1,26,MultisigVesting
2340.00,,Contributor Compensation,0x08f962bf5f76e96A6B0a5D5dED279aF6434f0CaE,24 months,1,26,MultisigVesting
